IDX|20200114|030041|00000001|0|1|Begin sending records         |Ïä
IDX|20200114|030041|00000056|3|ASSA                 |Adi Sarana Armada Tbk.                                      |0|ORDI        |74  |00000000390.00|00000000390.00|00003397500000|00003397500000|00100|--S7---1|--S-1115------74--------------          |00003397500000|¨&
IDX|20200114|030041|00000057|3|ATIC                 |Anabatic Technologies Tbk.                                  |0|ORDI        |97  |00000000700.00|00000000700.00|00001875010000|00001871260000|00100|--U9---1|--U-11-5------97-----L--------          |00001875010000|¸
IDX|20200114|030041|00000058|3|ATPK                 |Bara Jaya Internasional Tbk.                                |0|ORDI        |21  |00000000300.00|00000000172.17|00005760245414|00005760245414|00100|--U2---2|--U-2135------21------S-------          |00005760245414|¡
IDX|20200114|030041|00000059|3|AUTO                 |Astra Otoparts Tbk.                                         |0|ORDI        |42  |00000000575.00|00000000110.57|00004819733000|00004819733000|00100|--U4---1|--M-11354-----42--------------          |00004819733000|Ie
IDX|20200114|030041|00000060|3|BABP                 |Bank MNC Internasional Tbk.                                 |0|ORDI        |81  |00000000120.00|00000000087.13|00020375658699|00020375658699|00100|--S8---2|--U-21-5------81--------------          |00020375658699|¶e
IDX|20200114|030041|00000061|3|BACA                 |Bank Capital Indonesia Tbk.                                 |0|ORDI        |81  |00000000150.00|00000000135.64|00006968565500|00006968565500|00100|--S8---2|--U-21-5------81--------------          |00006968565500|ﬁì
IDX|20200114|030041|00000062|3|BACA-W2              |Waran Seri III Bank Capital Indonesia Tbk.                  |0|WARI        |81  |00000000001.00|00000000001.00|00000632027861|00000632027861|00100|-------2|                                        |00000000000000|ô
IDX|20200114|030041|00000063|3|BAJA                 |Saranacentral Bajatama Tbk.                                 |0|ORDI        |33  |00000000250.00|00000000250.00|00001800000000|00001800000000|00100|--S3---2|--U-21--------33--------------          |00001800000000|f|
IDX|20200114|030041|00000064|3|BALI                 |Bali Towerindo Sentra Tbk.                                  |0|ORDI        |75  |00000000400.00|00000000080.00|00003634277700|00003634277700|00100|--U7---2|--U-2135------75--------------          |00003634277700|-©
IDX|20200114|030041|00000065|3|BAPA                 |Bekasi Asri Pemula Tbk.                                     |0|ORDI        |61  |00000000150.00|00000000150.00|00000661784520|00000661784520|00100|--S6---1|--U-113-------61--------------          |00000661784520|-A
IDX|20200114|030041|00000066|3|BATA                 |Sepatu Bata Tbk.                                            |0|ORDI        |44  |00000001275.00|00000000007.71|00001300000000|00001300000000|00100|XDU4---1|--U-113-------44--------------          |00001300000000|n+
IDX|20200114|030041|00000067|3|BAYU                 |Bayu Buana Tbk                                              |0|ORDI        |94  |00000004500.00|00000000810.71|00000353220780|00000353220780|00100|--U9---2|--U-213-------94--------------          |00000353220780|(
IDX|20200114|030041|00000068|3|BBCA                 |Bank Central Asia Tbk.                                      |0|ORDI_PREOPEN|81  |00000001400.00|00000000175.00|00024408459120|00024408459120|00100|--S8B3O1|--SO1UQNC-----81--------------          |00024408459120|ÿ
